site,area,city,district,state,region,lat,lon,ne_count
NSU,Central,Junagadh,Junagadh,Gujarat,West,21.534701,70.457752,2
ITR,North,Jhansi,Jhansi,Uttar Pradesh,North,25.448807,78.583859,2
HPT,Sayajigunj,Vadodara,Vadodara,Gujarat,West,22.316149,73.193452,2
KGT,East,Mathura,Mathura,Uttar Pradesh,North,27.494003,77.663133,2
HDG,Naranpura,Ahmedabad,Ahmedabad,Gujarat,West,23.029869,72.565067,2
WIM,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.522228,87.299477,2
NXS,Vinayaka Nagar,Tirupati,Chittoor,Andhra Pradesh,South,13.627251,79.435041,2
POJ,South,Port Blair,Cuddalore,Tamil Nadu,South,11.729861,79.769527,2
KAK,Central,Kollam,Kollam,Kerala,South,8.905379,76.615143,2
EGE,South,Sangli,Sangli,Maharashtra,West,16.833532,74.583305,2
CTO,Central,Jalandhar,Jalandhar,Punjab,North,31.337778,75.576707,2
MLW,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501739,87.311062,2
KTU,South,Kohima,Kohima,Nagaland,Northeast,25.657336,94.107308,2
LQD,South,Amritsar,Amritsar,Punjab,North,31.617616,74.881046,2
TIL,Central,Port Blair,Cuddalore,Tamil Nadu,South,11.75974,79.770793,2
XDL,East,Jalandhar,Jalandhar,Punjab,North,31.327517,75.564841,2
SKL,MVP Colony,Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,17.697763,83.217279,2
KWH,Banashankari,Bangalore,Bengaluru Urban,Karnataka,South,12.980872,77.586617,2
TOF,Central,Hisar,Hisar,Haryana,North,29.159447,75.720617,2
ULU,Central,Kolhapur,Kolhapur,Maharashtra,West,16.717352,74.244798,2
BKS,East,Kohima,Kohima,Nagaland,Northeast,25.673459,94.098148,2
HAN,C-Scheme,Jaipur,Jaipur,Rajasthan,North,26.921492,75.786419,2
VRM,South,Bidar,Bidar,Karnataka,South,17.894629,77.52866,2
XPF,East,Saharanpur,Saharanpur,Uttar Pradesh,North,29.968754,77.545909,2
HRS,East,Bhavnagar,Bhavnagar,Gujarat,West,21.763056,72.139852,2
CGP,North,Sambalpur,Sambalpur,Odisha,East,21.465355,83.991501,2
GCT,South,Jammu,Jammu,Jammu and Kashmir,North,32.707629,74.855587,2
BWA,East,Yamunanagar,Yamunanagar,Haryana,North,30.130548,77.255354,2
MEN,TT Nagar,Bhopal,Bhopal,Madhya Pradesh,Central,23.249647,77.429024,2
MBN,South,Yamunanagar,Yamunanagar,Haryana,North,30.110935,77.268072,2
IUA,East,Jamshedpur,East Singhbhum,Jharkhand,East,22.795799,86.198546,2
RAW,East,Kohima,Kohima,Nagaland,Northeast,25.675035,94.098451,2
KPV,South,Ulhasnagar,Thane,Maharashtra,West,19.203386,73.166033,2
RVO,Central,Bokaro Steel City,Bokaro,Jharkhand,East,23.681655,86.15206,2
JAP,South,Jodhpur,Jodhpur,Rajasthan,North,26.222914,73.034433,2
PIL,Kowdiar,Thiruvananthapuram,Thiruvananthapuram,Kerala,South,8.53312,76.947502,2
SRH,South,Udaipur,Udaipur,Rajasthan,North,24.566593,73.712986,2
MBW,North,Korba,Korba,Chhattisgarh,Central,22.359689,82.765418,2
NOT,South,Rohtak,Rohtak,Haryana,North,28.876252,76.606945,2
TSU,Doranda,Ranchi,Ranchi,Jharkhand,East,23.350012,85.321333,2
BFM,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.519209,87.326923,2
MAU,North,Gulbarga,Kalaburagi,Karnataka,South,17.32956,76.84674,2
HKI,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.520375,87.300034,2
SVI,East,Satara,Satara,Maharashtra,West,17.679499,74.007115,2
SNZ,South,Anantapur,Anantapur,Andhra Pradesh,South,14.663002,77.599331,2
AMM,Central,Patiala,Patiala,Punjab,North,30.349186,76.384919,2
CLU,North,Imphal,Imphal West,Manipur,Northeast,24.818863,93.95313,2
KAB,East,Satara,Satara,Maharashtra,West,17.681835,74.007042,2
EHI,East,Bhuj,Kutch,Gujarat,West,23.253217,69.658882,2
ZES,North,Shillong,East Khasi Hills,Meghalaya,Northeast,25.579496,91.907608,2
KEN,North,Gandhinagar,Gandhinagar,Gujarat,West,23.2188,72.649354,2
WLS,Central,Gandhinagar,Gandhinagar,Gujarat,West,23.226328,72.638324,2
CRW,East,Gandhinagar,Gandhinagar,Gujarat,West,23.206858,72.631529,2
LFF,North,Dhule,Dhule,Maharashtra,West,20.905956,74.787587,2
PED,Central,Varanasi,Varanasi,Uttar Pradesh,North,25.328735,82.973172,2
NHN,South,Kalyan,Thane,Maharashtra,West,19.227871,73.14555,2
KAA,Central,Dhule,Dhule,Maharashtra,West,20.916724,74.775757,2
DLV,North,Puducherry,Puducherry,Puducherry,South,11.94041,79.822383,2
RIH,North,Gandhinagar,Gandhinagar,Gujarat,West,23.220383,72.648992,2
PLL,TT Nagar,Bhopal,Bhopal,Madhya Pradesh,Central,23.249482,77.426965,2
MKR,South,Agartala,West Tripura,Tripura,Northeast,23.812552,91.288175,2
TTM,East,Loni,Ghaziabad,Uttar Pradesh,North,28.741526,77.277623,2
DNT,East,Davanagere,Davanagere,Karnataka,South,14.464662,75.910704,2
LHB,South,Guntur,Guntur,Andhra Pradesh,South,16.28865,80.43525,2
EFN,North,Panaji,North Goa,Goa,West,15.492651,73.843791,2
RTK,North,Gulbarga,Kalaburagi,Karnataka,South,17.328029,76.84858,2
BPY,Central,Rohtak,Rohtak,Haryana,North,28.905257,76.605244,2
UMS,North,Tiruvottiyur,Tiruvallur,Tamil Nadu,South,13.163394,80.317447,2
GTS,North,Rohtak,Rohtak,Haryana,North,28.893987,76.621052,2
KAI,East,Udaipur,Udaipur,Rajasthan,North,24.585782,73.701277,2
SNF,South,Anantapur,Anantapur,Andhra Pradesh,South,14.664636,77.601305,2
AON,North,Latur,Latur,Maharashtra,West,18.407016,76.576344,2
MUG,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.52008,87.325151,2
ACV,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.503131,87.312694,2
GMS,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.518946,87.327311,2
GOV,Sayajigunj,Vadodara,Vadodara,Gujarat,West,22.313939,73.195593,2
WTP,Sathuvachari,Vellore,Vellore,Tamil Nadu,South,12.926975,79.133187,2
TMW,South,Rajahmundry,East Godavari,Andhra Pradesh,South,16.980589,81.80561,2
DBC,Sector 56,Gurgaon,Gurugram,Haryana,North,28.449543,77.043175,2
PDM,Airoli,Navi Mumbai,Thane,Maharashtra,West,19.040307,73.014349,2
DPT,East,Margao,South Goa,Goa,West,15.283195,73.976007,2
VTX,NIT,Faridabad,Faridabad,Haryana,North,28.41944,77.319129,2
XXP,East,Agartala,West Tripura,Tripura,Northeast,23.829571,91.27711,2
KAT,South,Ambattur,Tiruvallur,Tamil Nadu,South,13.080178,80.160189,2
MFK,North,Satara,Satara,Maharashtra,West,17.680415,74.032847,2
SEN,North,Agartala,West Tripura,Tripura,Northeast,23.83253,91.302397,2
GRV,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.532263,87.312141,2
GGP,South,Rohtak,Rohtak,Haryana,North,28.876567,76.605207,2
BHW,North,Ambattur,Tiruvallur,Tamil Nadu,South,13.099953,80.17584,2
PTK,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.520396,87.301931,2
LTF,Sector 21,Faridabad,Faridabad,Haryana,North,28.414788,77.33096,2
AYS,South,Bilaspur,Bilaspur,Chhattisgarh,Central,22.063198,82.139622,2
BEC,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.521745,87.325629,2
FTG,South,Agartala,West Tripura,Tripura,Northeast,23.813596,91.287588,2
JTW,Saraswathipuram,Mysuru,Mysuru,Karnataka,South,12.297092,76.627144,2
BRW,Vijayanagar,Mysuru,Mysuru,Karnataka,South,12.27916,76.639921,2
TWO,Bondel,Mangalore,Dakshina Kannada,Karnataka,South,12.908291,74.843222,2
FCR,North,Jammu,Jammu,Jammu and Kashmir,North,32.724679,74.871403,2
XKW,East,Cuttack,Cuttack,Odisha,East,20.460641,85.873927,2
ATO,East,Saharanpur,Saharanpur,Uttar Pradesh,North,29.969274,77.542534,2
WDS,South,Aizawl,Aizawl,Mizoram,Northeast,23.710918,92.718555,2
JOA,Central,Gorakhpur,Gorakhpur,Uttar Pradesh,North,26.770049,83.372671,2
NXA,South,Dhule,Dhule,Maharashtra,West,20.887452,74.772933,2
QEN,North,Aizawl,Aizawl,Mizoram,Northeast,23.727921,92.732882,2
SRD,East,Solapur,Solapur,Maharashtra,West,17.659134,75.893684,2
HPU,Saibaba Colony,Coimbatore,Coimbatore,Tamil Nadu,South,11.023498,76.968361,2
RHD,East,Jammu,Jammu,Jammu and Kashmir,North,32.724663,74.846554,2
KAR,North,Nashik,Nashik,Maharashtra,West,20.0016,73.80344,2
SBT,East,Ulhasnagar,Thane,Maharashtra,West,19.222247,73.152313,2
LKS,East,Ajmer,Ajmer,Rajasthan,North,26.449204,74.62824,2
WSU,Kavi Nagar,Ghaziabad,Ghaziabad,Uttar Pradesh,North,28.674586,77.467596,2
LMO,North,Jammu,Jammu,Jammu and Kashmir,North,32.727748,74.869841,2
EMN,South,Jamshedpur,East Singhbhum,Jharkhand,East,22.788566,86.211756,2
GPO,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.50163,87.312293,2
GWC,East,Ambala,Ambala,Haryana,North,30.377638,76.765334,2
LER,Central,Panaji,North Goa,Goa,West,15.501219,73.828331,2
AAP,East,Puducherry,Puducherry,Puducherry,South,11.942023,79.799346,2
ESR,East,Aizawl,Aizawl,Mizoram,Northeast,23.728865,92.706572,2
POG,East,Kakinada,East Godavari,Andhra Pradesh,South,16.987295,82.235644,2
HMG,Central,Jalandhar,Jalandhar,Punjab,North,31.336208,75.574574,2
PAK,East,Gorakhpur,Gorakhpur,Uttar Pradesh,North,26.762045,83.361138,2
CEK,Bypass Road,Madurai,Madurai,Tamil Nadu,South,9.91981,78.105447,2
MTR,Thillai Nagar,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.771497,78.706672,2
GRB,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.500983,87.312483,2
TMX,East,Shimla,Shimla,Himachal Pradesh,North,31.102915,77.163879,2
XRN,Central,Imphal,Imphal West,Manipur,Northeast,24.826336,93.935034,2
ZIB,South,Warangal,Warangal Urban,Telangana,South,17.952723,79.592801,2
MIT,South,Guntur,Guntur,Andhra Pradesh,South,16.287461,80.437319,2
ORE,South,Itanagar,Papum Pare,Arunachal Pradesh,Northeast,27.084617,93.604476,2
RHS,Central,Itanagar,Papum Pare,Arunachal Pradesh,Northeast,27.113255,93.603892,2
OBW,North,Jodhpur,Jodhpur,Rajasthan,North,26.244478,73.037967,2
PPT,Crossings Republik,Ghaziabad,Ghaziabad,Uttar Pradesh,North,28.678162,77.43763,2
XTO,Bariatu,Ranchi,Ranchi,Jharkhand,East,23.337119,85.298456,2
TGP,North,Amravati,Amravati,Maharashtra,West,20.939222,77.793103,2
ITM,Central,Aurangabad,Aurangabad,Maharashtra,West,19.888582,75.34321,2
IDS,North,Ballari,Ballari,Karnataka,South,15.139751,76.937564,2
GSS,Central,Yamunanagar,Yamunanagar,Haryana,North,30.139985,77.265722,2
HYC,East,Kohima,Kohima,Nagaland,Northeast,25.673258,94.096719,2
EGL,North,Ahmednagar,Ahmednagar,Maharashtra,West,19.093835,74.763979,2
SJM,North,Solapur,Solapur,Maharashtra,West,17.659582,75.922492,2
CCL,South,Aizawl,Aizawl,Mizoram,Northeast,23.710676,92.718041,2
XHF,Central,Jamnagar,Jamnagar,Gujarat,West,22.481131,70.057783,2
PBF,East,Agartala,West Tripura,Tripura,Northeast,23.831804,91.275495,2
ICK,South,Shillong,East Khasi Hills,Meghalaya,Northeast,25.561855,91.891435,2
ROU,Central,Margao,South Goa,Goa,West,15.295091,73.987799,2
DHL,East,Agartala,West Tripura,Tripura,Northeast,23.83136,91.276664,2
MHT,North,Kadapa,YSR Kadapa,Andhra Pradesh,South,14.467399,78.840106,2
CDR,Central,Nashik,Nashik,Maharashtra,West,20.006966,73.79117,2
ASO,Bariatu,Ranchi,Ranchi,Jharkhand,East,23.335928,85.297623,2
CGN,South,Raipur,Raipur,Chhattisgarh,Central,21.237744,81.639291,2
NXX,East,Gulbarga,Kalaburagi,Karnataka,South,17.329892,76.825251,2
WSE,Central,Bhavnagar,Bhavnagar,Gujarat,West,21.776417,72.152212,2
KRT,North,Tiruvottiyur,Tiruvallur,Tamil Nadu,South,13.165052,80.31812,2
MDK,East,Ratnagiri,Ratnagiri,Maharashtra,West,16.996112,73.288682,2
ADE,Central,Maheshtala,South 24 Parganas,West Bengal,East,22.523308,88.247651,2
CHW,South,Margao,South Goa,Goa,West,15.265988,73.986872,2
BNP,Auto Nagar,Vijayawada,Krishna,Andhra Pradesh,South,16.495055,80.647257,2
TRA,Central,Varanasi,Varanasi,Uttar Pradesh,North,25.327708,82.975687,2
JEP,Srirangam,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.789009,78.717796,2
LSD,Sector 16,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,28.544189,77.375388,2
MNF,North,Bidar,Bidar,Karnataka,South,17.912306,77.544097,2
TRZ,East,Ludhiana,Ludhiana,Punjab,North,30.891337,75.851664,2
CXX,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.52009,87.327069,2
LAL,East,Aligarh,Aligarh,Uttar Pradesh,North,27.895686,78.077096,2
VEP,North,Agartala,West Tripura,Tripura,Northeast,23.831439,91.299429,2
NBS,Sector 7,Chandigarh,Chandigarh,Chandigarh,North,30.724482,76.765733,2
IEM,North,Aligarh,Aligarh,Uttar Pradesh,North,27.899137,78.103294,2
ZEI,East,Kohima,Kohima,Nagaland,Northeast,25.675196,94.098769,2
NNW,North,Sambalpur,Sambalpur,Odisha,East,21.466504,83.988578,2
MMV,East,Kalyan,Thane,Maharashtra,West,19.234283,73.129797,2
BAR,Central,Korba,Korba,Chhattisgarh,Central,22.371216,82.75154,2
VLR,South,Kadapa,YSR Kadapa,Andhra Pradesh,South,14.448262,78.823904,2
LVB,Sabarmati,Ahmedabad,Ahmedabad,Gujarat,West,23.01429,72.566234,2
LOR,Central,Kohima,Kohima,Nagaland,Northeast,25.686553,94.107548,2
ENE,Central,Jhansi,Jhansi,Uttar Pradesh,North,25.459048,78.568723,2
NCK,East,Kurnool,Kurnool,Andhra Pradesh,South,15.829324,78.026196,2
SPA,South,Jalandhar,Jalandhar,Punjab,North,31.308242,75.574456,2
SCW,East,Port Blair,Cuddalore,Tamil Nadu,South,11.748986,79.759527,2
MPG,Central,Karaikudi,Sivaganga,Tamil Nadu,South,10.083942,78.773838,2
SPU,Central,Ambattur,Tiruvallur,Tamil Nadu,South,13.109563,80.160088,2
SAP,Ganapathy,Coimbatore,Coimbatore,Tamil Nadu,South,11.025278,76.939205,2
YCC,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.503074,87.310314,2
ISE,Central,Dhule,Dhule,Maharashtra,West,20.914536,74.776319,2
PMI,Central,Agartala,West Tripura,Tripura,Northeast,23.844239,91.286154,2
ARI,East,Tinsukia,Tinsukia,Assam,Northeast,27.487441,95.351291,2
PDW,North,Avadi,Tiruvallur,Tamil Nadu,South,13.116005,80.122226,2
NPK,AB Road,Indore,Indore,Madhya Pradesh,Central,22.72812,75.84049,2
ISU,North,Kadapa,YSR Kadapa,Andhra Pradesh,South,14.46816,78.837915,2
GMM,Central,Port Blair,Cuddalore,Tamil Nadu,South,11.758808,79.77224,2
OBA,North,Cuttack,Cuttack,Odisha,East,20.462836,85.898654,2
VNS,Surathkal,Mangalore,Dakshina Kannada,Karnataka,South,12.902231,74.854072,2
SRE,MP Nagar,Bhopal,Bhopal,Madhya Pradesh,Central,23.270818,77.412623,2
HCI,South,Bhagalpur,Bhagalpur,Bihar,East,25.22417,86.985328,2
TBG,Central,Jodhpur,Jodhpur,Rajasthan,North,26.249584,73.025945,2
CZZ,Jagatpura,Jaipur,Jaipur,Rajasthan,North,26.912128,75.774601,2
ZSB,Central,Jalgaon,Jalgaon,Maharashtra,West,21.019073,75.564489,2
NPA,Central,Karaikudi,Sivaganga,Tamil Nadu,South,10.081646,78.775493,2
JHP,East,Avadi,Tiruvallur,Tamil Nadu,South,13.115677,80.097992,2
HUS,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501469,87.30997,2
HCL,East,Raipur,Raipur,Chhattisgarh,Central,21.241227,81.623643,2
JOG,Central,Jhansi,Jhansi,Uttar Pradesh,North,25.459393,78.567356,2
ABC,South,Aligarh,Aligarh,Uttar Pradesh,North,27.881102,78.086428,2
QRR,South,Davanagere,Davanagere,Karnataka,South,14.444745,75.921212,2
TKW,Central,Davanagere,Davanagere,Karnataka,South,14.474716,75.921405,2
WLW,East,Margao,South Goa,Goa,West,15.281315,73.974025,2
DSM,Sector 21,Faridabad,Faridabad,Haryana,North,28.414834,77.328896,2
CVC,South,Dhule,Dhule,Maharashtra,West,20.887408,74.773316,2
LOW,Vashi,Navi Mumbai,Thane,Maharashtra,West,19.045134,73.031283,2
ZPO,Central,Margao,South Goa,Goa,West,15.293298,73.987715,2
BIF,KK Nagar,Madurai,Madurai,Tamil Nadu,South,9.934028,78.132113,2
XUK,North,Kamarhati,North 24 Parganas,West Bengal,East,22.669729,88.386174,2
TGS,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.500426,87.31161,2
XDB,Central,Kalyan,Thane,Maharashtra,West,19.254227,73.136234,2
OKB,Akota,Vadodara,Vadodara,Gujarat,West,22.298811,73.169113,2
NKZ,North,Warangal,Warangal Urban,Telangana,South,17.970731,79.609566,2
FII,North,Jhansi,Jhansi,Uttar Pradesh,North,25.448891,78.582764,2
SCM,North,Aligarh,Aligarh,Uttar Pradesh,North,27.898804,78.100636,2
GRF,East,Mysore,Mysuru,Karnataka,South,12.297699,76.628122,2
TTW,Central,Puducherry,Puducherry,Puducherry,South,11.951852,79.807921,2
BKB,Central,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.192955,79.985371,2
RGS,Central,Bhiwandi,Thane,Maharashtra,West,19.312978,73.062603,2
AJD,East,Roorkee,Haridwar,Uttarakhand,North,29.855756,77.875651,2
CTI,North,Ballari,Ballari,Karnataka,South,15.138334,76.934479,2
GHH,Central,Firozabad,Firozabad,Uttar Pradesh,North,27.168934,78.396343,2
AMW,East,Solapur,Solapur,Maharashtra,West,17.657969,75.896013,2
TGF,South,Junagadh,Junagadh,Gujarat,West,21.504961,70.456017,2
CPI,East,Ambattur,Tiruvallur,Tamil Nadu,South,13.100193,80.150645,2
PFN,North,Jalandhar,Jalandhar,Punjab,North,31.325773,75.591804,2
LIB,North,Kamarhati,North 24 Parganas,West Bengal,East,22.66907,88.385983,2
KOC,North,Gulbarga,Kalaburagi,Karnataka,South,17.329164,76.850472,2
FBS,East,Sangli,Sangli,Maharashtra,West,16.850848,74.572484,2
RTB,North,Rajahmundry,East Godavari,Andhra Pradesh,South,16.999404,81.817365,2
KOO,North,Jalgaon,Jalgaon,Maharashtra,West,21.008492,75.577415,2
EVA,East,Ambattur,Tiruvallur,Tamil Nadu,South,13.099456,80.151229,2
ROT,Central,Bhagalpur,Bhagalpur,Bihar,East,25.252303,86.982274,2
KHS,South,Dhule,Dhule,Maharashtra,West,20.887642,74.772918,2
PTM,East,Belgaum,Belgaum,Karnataka,South,15.849196,74.48748,2
BOC,Central,Mathura,Mathura,Uttar Pradesh,North,27.504177,77.674648,2
CHI,Central,Margao,South Goa,Goa,West,15.294045,73.985368,2
XMK,East,Rourkela,Sundargarh,Odisha,East,22.260153,84.842796,2
CVT,Nerul,Navi Mumbai,Thane,Maharashtra,West,19.023234,73.043929,2
HGF,West,Rajkot,Rajkot,Gujarat,West,22.30712,70.787863,2
XCI,South,Firozabad,Firozabad,Uttar Pradesh,North,27.140576,78.396015,2
BMP,East,Amritsar,Amritsar,Punjab,North,31.6256,74.865614,2
MYT,North,Jammu,Jammu,Jammu and Kashmir,North,32.725989,74.869474,2
XVF,North,Puducherry,Puducherry,Puducherry,South,11.9419,79.823815,2
ESN,East,Jalandhar,Jalandhar,Punjab,North,31.326772,75.563491,2
MYL,East,Jammu,Jammu,Jammu and Kashmir,North,32.727672,74.847393,2
SMT,East,Junagadh,Junagadh,Gujarat,West,21.523647,70.448451,2
DIG,East,Brahmapur,Ganjam,Odisha,East,19.315612,84.782871,2
CRA,South,Maheshtala,South 24 Parganas,West Bengal,East,22.493072,88.246609,2
ACL,Central,Belgaum,Belgaum,Karnataka,South,15.861985,74.499697,2
TOW,East,Aligarh,Aligarh,Uttar Pradesh,North,27.898978,78.078309,2
CAD,Central,Jalandhar,Jalandhar,Punjab,North,31.336823,75.575213,2
TTY,Bhawarkua,Indore,Indore,Madhya Pradesh,Central,22.71099,75.872181,2
BSY,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.502919,87.310039,2
ZMO,Central,Jalandhar,Jalandhar,Punjab,North,31.33644,75.57496,2
LHS,East,Bhuj,Kutch,Gujarat,West,23.252383,69.656588,2
VDF,Central,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.193703,79.986567,2
TTI,North,Bokaro Steel City,Bokaro,Jharkhand,East,23.669549,86.164786,2
MUP,South,Nellore,Nellore,Andhra Pradesh,South,14.42496,79.985718,2
ISV,Central,Kolhapur,Kolhapur,Maharashtra,West,16.717674,74.24256,2
CHS,East,Ajmer,Ajmer,Rajasthan,North,26.450283,74.629166,2
ZPP,Raj Nagar,Ghaziabad,Ghaziabad,Uttar Pradesh,North,28.662186,77.471281,2
LHR,East,Siliguri,Darjeeling,West Bengal,East,26.728512,88.385857,2
MGO,East,Agartala,West Tripura,Tripura,Northeast,23.8301,91.274367,2
KDO,West,Kanpur,Kanpur Nagar,Uttar Pradesh,North,26.453053,80.318254,2
SLG,KK Nagar,Madurai,Madurai,Tamil Nadu,South,9.934239,78.134256,2
MHO,South,Tinsukia,Tinsukia,Assam,Northeast,27.47089,95.358818,2
GOT,North,Bhagalpur,Bhagalpur,Bihar,East,25.242067,86.99745,2
OAT,East,Belgaum,Belgaum,Karnataka,South,15.847819,74.485543,2
VFS,Benz Circle,Vijayawada,Krishna,Andhra Pradesh,South,16.514227,80.659975,2
THM,West,Gandhinagar,Gandhinagar,Gujarat,West,23.218417,72.622146,2
RCO,North,Jalgaon,Jalgaon,Maharashtra,West,21.006304,75.576944,2
BVI,Hazratganj,Lucknow,Lucknow,Uttar Pradesh,North,26.858559,80.957818,2
RCE,North,Jalgaon,Jalgaon,Maharashtra,West,21.007193,75.578621,2
BAJ,East,Gulbarga,Kalaburagi,Karnataka,South,17.330288,76.824693,2
BFT,South,Bikaner,Bikaner,Rajasthan,North,28.005023,73.31377,2
VIS,West,Amritsar,Amritsar,Punjab,North,31.636665,74.859777,2
XIC,East,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.173952,79.981677,2
PNE,South,Dhule,Dhule,Maharashtra,West,20.887673,74.774384,2
PON,North,Karaikudi,Sivaganga,Tamil Nadu,South,10.071393,78.787846,2
NEP,East,Kadapa,YSR Kadapa,Andhra Pradesh,South,14.467755,78.814653,2
HBS,East,Itanagar,Papum Pare,Arunachal Pradesh,Northeast,27.101087,93.596487,2
HSD,East,Gandhinagar,Gandhinagar,Gujarat,West,23.205085,72.631376,2
WDO,Central,Patiala,Patiala,Punjab,North,30.352516,76.385462,2
LOG,North,Udaipur,Udaipur,Rajasthan,North,24.587192,73.728368,2
BED,Ammapet,Salem,Salem,Tamil Nadu,South,11.662796,78.134775,2
KYW,MVP Colony,Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,17.698245,83.218139,2
TPO,Central,Ajmer,Ajmer,Rajasthan,North,26.46225,74.638599,2
PHE,South,Imphal,Imphal West,Manipur,Northeast,24.799751,93.938324,2
ABV,West,Amritsar,Amritsar,Punjab,North,31.637136,74.859291,2
CES,Pattom,Thiruvananthapuram,Thiruvananthapuram,Kerala,South,8.533399,76.938101,2
SLZ,Central,Rourkela,Sundargarh,Odisha,East,22.270496,84.855577,2
COB,South,Malegaon,Nashik,Maharashtra,West,20.538861,74.52998,2
VLO,Central,Nellore,Nellore,Andhra Pradesh,South,14.451583,79.986334,2
DST,South,Loni,Ghaziabad,Uttar Pradesh,North,28.72358,77.289687,2
FMT,Central,Korba,Korba,Chhattisgarh,Central,22.37208,82.749325,2
JAL,Pattom,Thiruvananthapuram,Thiruvananthapuram,Kerala,South,8.533082,76.934943,2
SQP,Central,Panaji,North Goa,Goa,West,15.500019,73.825835,2
BZS,Town,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.724628,77.754985,2
SGB,Junction,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.714056,77.770453,2
YMS,East,Hubli,Dharwad,Karnataka,South,15.363116,75.112184,2
YNS,North,Aizawl,Aizawl,Mizoram,Northeast,23.725882,92.732118,2
NHI,Central,Akola,Akola,Maharashtra,West,20.710814,77.007467,2
XAQ,Beach Road,Thoothukudi,Thoothukudi,Tamil Nadu,South,8.766045,78.149688,2
DMO,Peelamedu,Coimbatore,Coimbatore,Tamil Nadu,South,11.007159,76.972203,2
ASW,East,Bhiwandi,Thane,Maharashtra,West,19.300375,73.054394,2
OND,South,Mathura,Mathura,Uttar Pradesh,North,27.474225,77.675287,2
JAN,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.520438,87.301842,2
HGV,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.520339,87.324501,2
BCJ,Central,Kalyan,Thane,Maharashtra,West,19.253285,73.135066,2
BXX,Central,Yamunanagar,Yamunanagar,Haryana,North,30.139665,77.26747,2
HSA,Vannarpet,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.714019,77.745232,2
DNG,West,Jamshedpur,East Singhbhum,Jharkhand,East,22.809123,86.1894,2
SCH,North,Avadi,Tiruvallur,Tamil Nadu,South,13.115659,80.124223,2
KIR,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.521477,87.326475,2
XEN,Central,Rajkot,Rajkot,Gujarat,West,22.316197,70.803503,2
NGL,North,Kollam,Kollam,Kerala,South,8.893245,76.629196,2
CHE,Central,Dibrugarh,Dibrugarh,Assam,Northeast,27.485125,94.911957,2
BHS,AB Road,Indore,Indore,Madhya Pradesh,Central,22.72728,75.843569,2
KIN,South,Agartala,West Tripura,Tripura,Northeast,23.812748,91.284916,2
NOV,Central,Bhiwandi,Thane,Maharashtra,West,19.310792,73.062772,2
PCV,MG Road,Gurgaon,Gurugram,Haryana,North,28.448487,77.024791,2
SDN,East,Yamunanagar,Yamunanagar,Haryana,North,30.127743,77.254641,2
SBV,South,Aligarh,Aligarh,Uttar Pradesh,North,27.879556,78.089743,2
BDW,North,Kota,Kota,Rajasthan,North,25.217013,75.879704,2
SJH,South,Nadiad,Kheda,Gujarat,West,22.676201,72.862985,2
HIT,South,Raipur,Raipur,Chhattisgarh,Central,21.23698,81.640453,2
PSW,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.520434,87.326379,2
AGP,Central,Kollam,Kollam,Kerala,South,8.903121,76.612465,2
EME,Arera Colony,Bhopal,Bhopal,Madhya Pradesh,Central,23.267779,77.423825,2
BOR,South,Ujjain,Ujjain,Madhya Pradesh,Central,23.156926,75.789606,2
ONR,East,Margao,South Goa,Goa,West,15.283939,73.977303,2
DSP,Central,Aligarh,Aligarh,Uttar Pradesh,North,27.909233,78.087065,2
BDN,East,Jalandhar,Jalandhar,Punjab,North,31.325625,75.565956,2
LIL,Central,Kohima,Kohima,Nagaland,Northeast,25.686879,94.107688,2
BHD,East,Kollam,Kollam,Kerala,South,8.895079,76.603424,2
